Label,Question
,how much money does he have now ? .
,how many cupcakes would she have ? .
,How many games did they win ?
,how many did he pick ? .
,How many roses did she cut ?
,How many football games did Joan go to in all ?
,How many walnut trees will the park have when the workers are finished ?
,How many dimes does Sam have now ?
,How many puppies did she have to start with ?
,How many pizzas were served today ?
,How many pencils are now there in total ?
,How many seashells did they find together ?
,How many carrots did they grow in total ?
,How many apples were picked in total ?
,How many seashells did they find together ?
,How many kittens did he have to start with ?
,How many blue balloons do they have in total ?
,How many dimes does Melanie have now ?
,How many cakes were served in total ?
,How many onions did they grow in all ?
,How many seashells did they find together ?
,How many books do they have together ?
,How many quarters does he have now ?
,How many walnut trees will the park have when the workers are finished ?
,How many pencils are now there in total ?
,How many blue balloons do they have in total ?
,How many football games did Sam go to in all ?
,How many seashells did they find together ?
,How many dogwood trees will the park have when the workers are finished ?
,How many cantelopes did they grow in total ?
,How many dimes does Melanie have now ?
,How many cards does Sally have now ?
,How many football games will he attend in all ?
,How many books did he buy at the yard sale ?
,How many more cups does she need to add ?
,How many maple trees did the workers plant today ?
,How many seashells did he give to Jessica ?
,how many did she pick ? .
,How many roses did she cut ?
,How much money did he make washing cars ?
,How many bales did he store in the barn ?
,How many potatoes did they grow in total ?
,How many crayons are now there in total ?
,How many oak trees will the park have when the workers are finished ?
,How many unbroken seashells did Tom find ?
,How many lemons were picked in total ?
,How many cakes were served today ?
,How many dimes does Fred have now ?
,How many kittens does she have now ?
,How many pencils are now there in total ?
,How many baseball games did Benny miss ?
,How many books do they have together ?
,How many baseball cards does Mike have now ?
,How many books do they have together ?
,How many popular trees will the park have when the workers are finished ?
,How many pears were picked in all ?
,How many pennies does he have now ?
,How many seashells does she now have ?
,How many soccer games did Melanie miss ?
,How many books do they have together ?
,How many oranges were picked in total ?
,How many quarters does she have now ?
,How many baseball games did Fred miss ?
,How many turnips did they grow in all ?
,How many Pokemon cards does Jason have now ?
,How many walnut trees will the park have when the workers are finished ?
,How many green balloons does he now have ?
,How many Pokemon cards does Jason have now ?
,How many orange marbles does he now have ?
,How many dimes does she have now ?
,How many rose bushes will the park have when the workers are finished ?
,How many pears were picked in total ?
,How many watermelons does Sam have left ?
,How many nickels does Mary have now ?
,How many turnips did they grow in all ?
,How many yellow marbles do they have in all ?
,How many carrots did they grow in all ?
,How many seashells does he now have ?
,How many baseball cards does Fred have now ?
,How many potatoes does Mary now have ?
,How many soccer games did Jessica go to in all ?
,How many quarters does Jessica have now ?
,How many hamburgers were left over from lunch ?
,How many crayons are there now ?
,How many limes does Dan have now ?
,How many unbroken seashells did Dan find ?
,How many blue balloons does Joan have now ?
,How many apples does Joan have now ?
,How many hockey games did Alyssa miss ?
,How many violet balloons does he now have ?
,How many seashells does he now have ?
,How many pumpkins does Sara have left ?
,How many books does Joan now have ?
,How many rulers are now in the drawer ?
,How many oak trees will be in the park when the workers are finished ?
,How much did Joan spend on video games ?
,How much did Mike spend at the music store ?
,In total how much did Alyssa spend on toys ? .
,What was the total cost of Jessica 's purchases ?
,What was the total of the lunch bill ?
,In total how much money did Jason spend on clothing ? .
,In total how much money did Alyssa spend ? .
,In total how much money did she spend ? .
,How much money did Sandy spend on clothes ?
,How much did Jason spend at the music store ?
,How much did Tom spend on video games ?
,In total how much did Mike spend on toys ? .
,How much money did Sandy get in change ?
,How much change did Joan receive ?
,How much change did he receive from the purchase ?
,How many tons of cargo does the ship hold now ?
,In all how many ear muffs do the customers buy ? .
,How many pounds of honey did Diane harvest this year ?
,In all how many liters of oil leaked into the water ? .
,How many cars is that in all ?
,How many yen do they have ?
,How many houses are there now in Lincoln County ?
,How many bushels of wheat does the farmer harvest ?
,How much money was in the account before the transfer ?
,In all how many passengers landed in Newberg last year ? .
,How many acres does the prairie cover ?
,How many ladybugs are there in all ?
,How many new people began living in the country last year ?
,How many tons of grain did the ship originally contain ?
,How many yards of silk did it dye for that order ?
,How many employees work for the corporation ?
,How many salmon made the trip ?
,How many bathing suits are available overall ?
,How many blood cells were in the second sample ?
,how many pounds of fresh fruit have been sold so far ? .
,How much more money does Jonathan need to buy all three books ?
,How much money does Tanner have left ?
,How many stickers does Mika have left ?
,How many coins did Kylie have left ?
,How many more plates should Justin buy ?
,How many stickers does Luke have left ?
,How many more cupcakes should Priya buy ?
,How many more cartons of berries should Maria buy ?
,How many yellow marbles do they have in all ?
,How many more tickets should Zach buy ?
,How many more cupcakes should Randy buy ?
,How much longer is Oscar 's bus ride than Charlie 's ?
,How many cups of nuts did Karen put in the trail mix in all ?
,How far did Kendall drive in all ?
,How much more pie did Erik eat than Frank ?
,How much more did the tailor cut off the skirt than the pants ?
,What fraction of the garments are either bikinis or trunks .
,How much farther did Darnel sprint than jog ?
,How much longer was the first fish ?
,How many pounds of peppers did Hannah 's Vegetarian Restaurant buy in all ?
,Together how much dog food do the two dogs eat each day ? .
,How much water is left in the bucket ?
,How much more cinnamon than nutmeg did Mandy use ?
,Altogether what fraction of their budget does the Montoya family spend on food ? .
,What fraction of the students received either A 's or B 's ?
,how much oil will be in the measuring cup ? .
,How many loaves were served in all ?
,How much farther did Stanley run than walk ?
,How much more flour than sugar did Dina use ?
,How many buckets of fish does the polar bear eat daily ?
,How much farther did Jenny run than walk ?
,What fraction of the students in the band are in either trumpet section or the trombone section ?
,How much longer was the longer worm ?
,How much longer is Vince 's bus ride than Zachary 's ?
,How much hair did she have cut off in all ?
,What fraction of the apartments are either 1 - two-bedroom apartments ?
,How much taller was Miki 's sandcastle than her sister 's ?
,How much gas did Michelle use ?
,How much more baking powder did Kelly have yesterday ?
,How many more acres did Greg harvest than Sharon ?
,How much more brown sugar did Victor use ?
,How much farther did Eve run than walk ?
,How many cups of raisins did Jonah add in all ?
,How much extra food is needed to feed the second cat ?
,What was the total amount of snowfall ?
,How many bags of flour did the bakery use in all ?
,How much water had leaked out of the bucket ?
,How many bags of fruit did Charlie pick in total ?
,Altogether how many bottles of mustard does the waitress find ? .
,How many leftover tarts did the restaurant have in all ?
,How many pounds of trail mix did Brandy make ?
,How many cartons of ice cream did Allie have in all ?
,Altogether how many bins would the canned food take up ? .
,How many miles did Nina run in total ?
,How many centimeters of rain did the class record in all ?
,How many miles did Spencer walk in all ?
,How many tons of material did the company order in all ?
,How many gallons of punch did Kendra make ?
,How many light-years did the spaceship travel in all ?
,How many total centimeters of snow did Logan record ?
,How many cups of ingredients did Ellen use for the smoothies ?
,How many pitchers of lemonade did Jonah pour in all ?
,How many miles did Heather walk in all ?
,How many truck-loads of material were needed in all ?
,What was the total weight of the plastic rings ?
,How many cups of liquid did Kenny use in all ?
,How many pounds of peppers did Dale 's Vegetarian Restaurant buy in all ?
,How much farther did Craig ride than walk ?
,How much more does the chemistry textbook weigh than the geometry textbook ?
,How much cement did Roadster 's Paving Company use in all ?
,How much water did Sam pour into the pool ?
,How many laps did Kyle jog in all ?
,how many gallons of water will there be in all ? .
,How much soda did they drink in all ?
,How much more did the piece of iron weigh than the piece of aluminum ?
,How far did the fault line move in all ?
,How many pages worth of people did Rosa call in all ?
,How much taller was Janet 's sandcastle than her sister 's ?
,How much longer was the green caterpillar than the orange caterpillar ?
,How much taller is the new lamp than the old lamp ?
,How much longer was the white line than the blue line ?
,how many gallons will there be in all ? .
,How much farther did Wendy run than walk ?
,How much more did the yellow block weigh than the green block ?
,How far did Terrell hike all together ?
,How long is the piece of wood now ?
,How many pounds of snacks did she buy in all ?
,How many pounds of watermelon did Kevin buy ?
,How much did it rain in April ?
,what will the scale read ?
,How much honey remains ?
,How much did it rain on Tuesday ?
,How much pepper does Brennan have left ?
,How many tons of material did the company buy in all ?
,How much did it rain on Saturday and Sunday combined ?
,How much sugar is left ?
,How much fruit is left ?
,How many kilograms of nuts did the chef buy in all ?
,How much did the two pumpkins weigh all together ?
,How much sand does the truck have when it arrives at the yard ?
,How tall is Tori now ?
,How many legos does Ellen have now ?
,How many more muffins does Arthur have to bake ?
,How many more crayons does Karen have than Cindy ?
,How many peanuts does Kenya have ?
,How many stamps does Minerva have ?
,How many markers does Megan have altogether ?
,How many more DVDs can be put in the book ?
,How many did Carla start with ?
,How many cookies did Paco have left ?
,How many does Kelly need to give away ?
,How many did Connie have to start with ?
,How many markers does Connie have altogether ?
,How many books about sports does Iesha have ?
,How many more balloons does James have than Amy ?
,How many whistles does Charles have ?
,How much change will Adam get ?
,What amount of money did Tony have then ?
,How many people live in Milburg ?
,how many pieces were blue ? .
,How many apples does the farmer have now ?
,How many people were at the second concert ?
,How many fish would Lucy have then ?
,How many more fish does Lucy need to buy ?
,How much money did Chris have before his birthday ?
,How many fleas perished ?
,How many more bags of dog food are there than cat food ?
,how many bottle caps are in the box ? .
,How many Skittles does Brenda end with ?
,How many cards are there total ?
,How many marbles are there total ?
,How many oranges are there total ?
,How many peanuts does Carol have ?
,How many cards are there total ?
,how many bottle caps are in the box ? .
,How many blocks does Bobby have ?
,How many erasers does Peter end with ?
,how many crayons are in the box ? .
,How many blocks does Anna have ?
,how many eggs are in the box ? .
,How many blocks does Wayne have ?
,how many Skittles will Bridget have ? .
,How many cards does Ralph have ?
,How many cards does Martha end with ?
,How many Skittles does Cheryl end with ?
,How many peanuts does Amy end with ?
,How many bananas does Teresa end with ?
,how many pencils will Gloria have ? .
,How many oranges does Mildred have ?
,How many candies does Anna end with ?
,how many peanuts will Martha have ? .
,How many eggs does Mary end with ?
,How many eggs does Shirley end with ?
,How many tickets does William end with ?
,How many apples does Harry end with ?
,How many candies does Barbara have in all ?
,How many pencils does Eugene have in all ?
,How many pencils does Anthony have in all ?
,How many eggs does Andrew end with ?
,How many tickets does Angela have in all ?
,How many apples does Charles have in all ?
,How many bananas does Lisa end with ?
,How many candies does Joseph have in all ?
,How many apples does Janet have in all ?
,How many bottle caps does Nancy end with ?
,How many marbles does Harold have in all ?
,How many bananas are left in the jar ?
,How many pencils are left in the jar ?
,How many apples does Joyce end with ?
,How many bottle caps are left in the jar ?
,How much heavier is Anne than Douglas ?
,How much heavier is Jessica than Thomas ?
,How many apples are left in the jar ?
,How much heavier is Donna than Willie ?
,How many eggs are left in the jar ?
,How many pencils are left ?
,How many crayons does Jane end with ?
,How many candies will Roger have ?
,How many oranges are left ?
,How many erasers does Marie end with ?
,How many oranges are left ?
,How many bananas will Melissa have ?
,How much heavier is John than Roy ?
,How many stickers does Larry end with ?
,How many candies does Patricia end with ?
,How many bottle caps are left ?
,How much heavier is Mildred than Carol ?
,How many bottle caps does Diana end with ?
,How many apples will Ruby have ?
,How many Skittles does Craig end with ?
,How much heavier is Bridget than Martha ?
,How many cards will Brian have ?
,How many crayons will Billy have ?
,How many bottle caps does Pamela end with ?
,How many bottle caps will Katherine have ?
,How many oranges will Melissa have ?
,How many bananas does Norma end with ?
,How many stickers does Willie end with ?
,How many erasers does Aaron end with ?
,How many Skittles will Charles have ?
,How many cards will Norma have ?
,How many Skittles will Pamela have ?
,How many Skittles does Evelyn end with ?
,How many cards does Helen end with ?
,How many apples does Ruth end with ?
,How many blocks will Carlos have ?
,How many blocks does Heather end with ?
,How many peanuts does Ralph end with ?
,How many marbles does Jack end with ?
,How many tickets will Clarence have ?
,How many blocks will Sean have ?
,How many bananas does Tina have in all ?
,How many stickers does Janet have in all ?
,How many apples does Jennifer end with ?
,How many oranges will Heather have ?
,How many oranges does Helen end with ?
,How many bottle caps does William have in all ?
,How many cards will Dorothy have ?
,How many marbles will Sara have ?
,How many cards will Jennifer have ?
,How many blocks does Wanda have in all ?
,How many marbles will William have ?
,How many cards does Larry end with ?
,How many bottle caps does Sarah have in all ?
,How many bottle caps does Marilyn end with ?
,How many bottle caps does William have in all ?
,How many blocks does Carol end with ?
,How many candies does Lillian have ?
,How many bottle caps does William have in all ?
,How many apples are there in the pile ?
,How many apples does Sean have in all ?
,How many candies are there in the pile ?
,How many Skittles does Kimberly have in all ?
,How many oranges does Clarence have in all ?
,How many apples are there in the pile ?
,How many Skittles does Kimberly have in all ?
,How many apples does Annie have in all ?
,How many bananas are there in the pile ?
,How many marbles does Kenneth have in all ?
,How many cards does Aaron end with ?
,How many tickets does Ernest end with ?
,How many crayons does Diane have in all ?
,How many blocks does Ann end with ?
,How many blocks does Martha end with ?
,How many bottle caps does Anne end with ?
,How many marbles does Evelyn have in all ?
,How many bananas does David have in all ?
,How many cards does Emily have ?
,How many apples are left in the box ?
,How many eggs will Bruce have ?
,How many erasers are left in the box ?
,How many erasers are left in the box ?
,How many candies are left in the box ?
,How many Skittles will Brandon have ?
,How many crayons will Theresa have ?
,How many apples will Craig have ?
,How much heavier is Heather than Emily ?
,How much heavier is Heather than Emily ?
,How many blocks does Mildred end with ?
,How many blocks does Mildred end with ?
,How many birds are sitting on the fence ?
,How many more crickets do you need to collect ?
,How many more birds are there than nests ?
,How many owls are on the fence now ?
,How many beavers are still working on their home ?
,How many toucans in all ?
,How many more squirrels are there than nuts ?
,How much did she spend in all for the two toys ?
,How much more snow did Mrs. Hilt 's house have ?
,How much money did she have left ?
,How many balloons did she blow up in all ?
,How many pieces of litter did they pick up altogether ?
,How many gold stars did Carson earn in all ?
,How many students are left on the bus ?
,How many packs of groceries did she buy in all ?
,How many fish did he buy ?
,How many pupils are there in that school ?
,How many candies do they have in all ?
,What is the sum of our popsicle sticks ?
,What is the total number of reading materials she sold ?
,How many birds are on the fence ?
,How many boys went down the slide ?
,How many ducks are swimming in the lake ?
,How many pieces of candy did Bobby eat ?
,How many pet fish does Sandy have now ?
,How many balloons does the clown have now ?
,How many books did our class get from the library ?
,How many apples does Tessa have now ?
,how long will it be ? .
,How many cats does Mrs. Sheridan have altogether ?
,How many fish does she have now ?
,How many does he have left ?
,How many more cookies does Aiyanna have than Alyssa ?
,How many meatballs did Kirsten steal ?
,how much of Isabella 's hair got cut off ? .
,How much hair did she grow ?
,How many pounds did she add ?
,How much did she sharpen off of her pencil ?
,How many more cats does Mrs. Sheridan need ?
,How many more cats does Mrs. Garrett have than Mrs. Sheridan ?
,How many does she have left ?
,How many Valentines did Mrs. Franklin give to her students ?
,How many more red roses does Mrs. Santiago have than Mrs. Garrett ?
,How many birds were there altogether in the tree ?
,How many more flew up to the tree ?
,How many cookies did they have altogether ?
,How many children got on the bus at the bus stop ?
,How many more dollars does she have to earn ?
,How many children were there in all ?
,How many birds were there in all ?
,How many strawberries did he have then ?
,How many more books does Bobby have than Kristi ?
,How many balloons did Tommy have to start with ?
,How many pieces of drawing paper does she have ?
,How many of her leaves blew away ?
,How many baseball cards does Carter have ?
,How many green shirts does Gavin have ?
,How many presents does Alissa have ?
,How many stickers did Pat have at the end of the week ?
,How many more apples does Kelly need to pick ?
,How many pieces did Todd have to start with ?
,How many pencils does Josh have left ?
,How many trucks did Sarah have to start with ?
,How many markers does Megan have altogether ?
,How many did she start with ?
,How many does she need to give away ?
,How many did she have to start with ?
,How many markers does she have altogether ?
,How many books about sports does Iesha have ?
,How many more balloons does James have than Amy ?
,How many whistles does Charles have ?
,How many marbles does Juan have ?
,How many pigs came to join them ?
,How many flowers did Andre give to Rosa ?
,How many did he have to add ?
,How many marbles does he have now ?
,How many more seashells does she need to find ?
,How many more rocks does she need to complete the border ?
,How many miles did they have left to drive ?
,How many more points did Zach score ?
,How much change will he get ?
,how many trees will he have ? .
,How much money is left ?
,How many does Charlie have ?
,How many blocks are left ?
,How many more does Bryan have ?
,How many more fly up to the tree ?
,How many children got on the bus at the bus stop ?
,How many dollars does she have to earn ?
,How many more dollars does she have to earn ?
,How many stickers did James get for his birthday ?
,How many children were on the playground at recess ?
,How many birds were in the marsh ?
,How many strawberries did he have then ?
,How many more muffins does Arthur have to bake ?
,How many peanuts does Kenya have ?
,How many more DVDs can be put in the book ?
,How many does she need to give away so that ?
,How many markers does she have altogether ?
,How many books about sports does Iesha have ?
,How many whistles does Charles have ?
,How much change will he get ?
,How many people live in Milburg ?
,how many were blue ? .
,How many apples does he have now ?
,How many people were at the second concert ?
,how many pies will she have ? .
,How many fish would Lucy have then ?
,How many more fish does she need to buy ?
,How many times did they jump altogether ?
,How many fleas perished ?
,How many more bags of dog food are there than cat food ?
,How many bones did he start with ?
,how many dolls would they have ? .
,How many get well cards did Mariela get ?
,What is the total number of goals Jorge scored ?
,How many pages does he have left to read ?
,What is the total number of egg rolls Omar and Karen rolled ?.
,How many more miles did Beka fly than Jackson ?
,What is the total number of miles Darius and Julia drove ?
,How many pieces of paper does she have left ?
,How many miles had she traveled ?
,How much pizza do you have altogether ?
,How much sugar is that altogether ?
,How much cake is left over after that ?
,How far did you walk altogether ?
,How much more money does he need ?
,How much change will she get ?
,How much farther does John walk than Nina ?
